line,round,client,train_acc,train_loss,train_avg_loss,train_total,log
1019,0,29,0.467187,451.207489,0.705012,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1020,0,12,0.510938,444.727322,0.694886,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1021,0,11,0.507812,443.774092,0.693397,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1022,0,42,0.5125,446.211052,0.697205,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1023,0,3,0.501563,449.121239,0.701752,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1024,0,28,0.485938,449.126778,0.701761,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1025,0,39,0.498437,448.538179,0.700841,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1026,0,32,0.495312,446.613899,0.697834,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1027,0,23,0.510938,446.965801,0.698384,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1028,0,5,0.50625,445.989513,0.696859,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1029,0,34,0.535937,440.772179,0.688707,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1030,0,36,0.507812,448.52412,0.700819,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1031,0,27,0.542188,443.927713,0.693637,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1032,0,35,0.498437,452.005747,0.706259,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1033,0,19,0.496875,447.402164,0.699066,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1034,0,8,0.485938,448.282188,0.700441,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1035,0,15,0.482812,444.721014,0.694877,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1036,0,46,0.50625,443.822809,0.693473,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1037,0,49,0.4625,452.604946,0.707195,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1038,0,30,0.507812,448.009476,0.700015,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1039,0,16,0.490625,449.991131,0.703111,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1040,0,31,0.4875,447.7407,0.699595,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1041,0,33,0.517188,446.142904,0.697098,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1042,0,17,0.507812,448.775494,0.701212,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1043,0,43,0.470313,450.272667,0.703551,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1044,0,21,0.471875,451.553131,0.705552,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1045,0,44,0.529687,443.784554,0.693413,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1046,0,9,0.498437,449.11776,0.701746,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1047,0,14,0.48125,449.306559,0.702041,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1048,0,26,0.521875,445.435617,0.695993,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1049,0,6,0.520312,448.099791,0.700156,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1050,0,18,0.528125,444.341427,0.694283,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1051,0,41,0.535937,446.382811,0.697473,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1052,0,50,0.517188,445.733004,0.696458,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1053,0,2,0.509375,447.829739,0.699734,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1054,0,13,0.495312,451.575481,0.705587,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1055,0,38,0.489063,448.460886,0.70072,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1056,0,25,0.525,447.551071,0.699299,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1057,0,7,0.49375,446.945396,0.698352,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1058,0,24,0.509375,446.946499,0.698354,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1059,0,37,0.5,448.49131,0.700768,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1060,0,22,0.465625,450.817875,0.704403,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1061,0,20,0.5375,447.227133,0.698792,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1062,0,10,0.495312,450.96875,0.704639,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1063,0,40,0.495312,448.384571,0.700601,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1064,0,47,0.504687,446.803295,0.69813,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1065,0,4,0.471875,450.631929,0.704112,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1066,0,1,0.479687,449.952263,0.70305,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1067,0,48,0.484375,449.105938,0.701728,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1068,0,45,0.482812,450.416031,0.703775,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1221,1,3,0.503125,446.675901,0.697931,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1222,1,31,0.496875,447.521723,0.699253,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1223,1,24,0.514062,445.358126,0.695872,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1224,1,17,0.496875,447.131155,0.698642,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1225,1,14,0.521875,444.992928,0.695301,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1226,1,29,0.510938,446.297783,0.69734,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1227,1,10,0.457813,448.526667,0.700823,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1228,1,46,0.496875,445.945425,0.69679,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1229,1,34,0.514062,449.149578,0.701796,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1230,1,38,0.467187,450.317644,0.703621,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1231,1,47,0.498437,448.299892,0.700469,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1232,1,8,0.49375,448.480755,0.700751,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1233,1,35,0.484375,450.229279,0.703483,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1234,1,20,0.507812,444.293308,0.694208,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1235,1,44,0.49375,446.779806,0.698093,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1236,1,33,0.5,444.894075,0.695147,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1237,1,9,0.504687,443.67161,0.693237,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1238,1,23,0.510938,446.61072,0.697829,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1239,1,30,0.5375,447.204664,0.698757,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1240,1,45,0.495312,449.573387,0.702458,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1241,1,27,0.490625,447.463615,0.699162,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1242,1,43,0.489063,448.30619,0.700478,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1243,1,25,0.464062,450.557938,0.703997,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1244,1,7,0.476562,449.13764,0.701778,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1245,1,42,0.501563,450.487812,0.703887,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1246,1,48,0.495312,445.057537,0.695402,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1247,1,21,0.535937,442.76919,0.691827,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1248,1,11,0.4625,446.752079,0.69805,640,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
